altura_max_m,altura_min_m,ganancia_altura_m,duracion_min,velocidad_promedio_kmh,num_termicas,intensidad_termicas_mean_ms,tiempo_en_termicas_min,tasa_ascenso_mean_ms
2258.0,192.0,2065.0,337.7,125.3,236.0,2.26,140.7,2.3
2320.0,187.0,2133.0,316.5,131.4,246.0,2.8,130.5,2.66
2146.0,189.0,1953.0,298.8,130.1,185.0,2.59,120.4,2.66
2249.0,203.0,2044.0,221.0,157.8,211.0,3.42,86.2,3.27
2278.0,188.0,2076.0,293.0,126.8,224.0,2.83,117.5,2.86
2173.0,199.0,1972.0,323.7,128.9,292.0,2.62,136.8,2.57
2187.0,205.0,1981.0,222.4,143.0,190.0,3.4,93.6,3.17
2107.0,177.0,1930.0,363.8,92.9,219.0,2.22,113.6,2.26
1999.0,194.0,1803.0,220.7,147.4,227.0,3.74,94.0,3.54
2256.0,186.0,2068.0,292.5,131.4,35.0,2.61,122.1,2.56
